id,acronym,name,color_hex_triplet,graph_id,graph_order,parent_structure_id,structure_id_path,total_voxel_count,overlap_with_previous,previous_only_count,current_only_count
997,root,root,FFFFFF,1,0,,/997/,506056786,506032496,24,24290
8,grey,Basic cell groups and regions,BFDAE3,1,1,997,/997/8/,449681182,449584066,10262,97116
567,CH,Cerebrum,B0F0FF,1,2,8,/997/8/567/,275956924,275859808,348,97116
688,CTX,Cerebral cortex,B0FFB8,1,3,567,/997/8/567/688/,221630316,221533200,348,97116
695,CTXpl,Cortical plate,70FF70,1,4,688,/997/8/567/688/695/,212722414,212625298,348,97116
315,Isocortex,Isocortex,70FF71,1,5,695,/997/8/567/688/695/315/,123282624,123282624,0,0
184,FRP,"Frontal pole, cerebral cortex",268F45,1,6,315,/997/8/567/688/695/315/184/,973876,973876,0,0
68,FRP1,"Frontal pole, layer 1",268F45,1,7,184,/997/8/567/688/695/315/184/68/,256520,256520,0,0
667,FRP2/3,"Frontal pole, layer 2/3",268F45,1,8,184,/997/8/567/688/695/315/184/667/,232608,232608,0,0
526157192,FRP5,"Frontal pole, layer 5",268F45,1,9,184,/997/8/567/688/695/315/184/526157192/,371584,371584,0,0
526157196,FRP6a,"Frontal pole, layer 6a",268F45,1,10,184,/997/8/567/688/695/315/184/526157196/,112222,112222,0,0
526322264,FRP6b,"Frontal pole, layer 6b",268F45,1,11,184,/997/8/567/688/695/315/184/526322264/,942,942,0,0
500,MO,Somatomotor areas,1F9D5A,1,12,315,/997/8/567/688/695/315/500/,24450362,24450362,0,0
107,MO1,"Somatomotor areas, Layer 1",1F9D5A,1,13,500,/997/8/567/688/695/315/500/107/,,,,
219,MO2/3,"Somatomotor areas, Layer 2/3",1F9D5A,1,14,500,/997/8/567/688/695/315/500/219/,,,,
299,MO5,"Somatomotor areas, Layer 5",1F9D5A,1,15,500,/997/8/567/688/695/315/500/299/,,,,
644,MO6a,"Somatomotor areas, Layer 6a",1F9D5A,1,16,500,/997/8/567/688/695/315/500/644/,,,,
947,MO6b,"Somatomotor areas, Layer 6b",1F9D5A,1,17,500,/997/8/567/688/695/315/500/947/,,,,
985,MOp,Primary motor area,1F9D5A,1,18,500,/997/8/567/688/695/315/500/985/,11351334,11351334,0,0
320,MOp1,"Primary motor area, Layer 1",1F9D5A,1,19,985,/997/8/567/688/695/315/500/985/320/,1328982,1328982,0,0
943,MOp2/3,"Primary motor area, Layer 2/3",1F9D5A,1,20,985,/997/8/567/688/695/315/500/985/943/,3689292,3689292,0,0
648,MOp5,"Primary motor area, Layer 5",1F9D5A,1,21,985,/997/8/567/688/695/315/500/985/648/,3272844,3272844,0,0
844,MOp6a,"Primary motor area, Layer 6a",1F9D5A,1,22,985,/997/8/567/688/695/315/500/985/844/,2876428,2876428,0,0
882,MOp6b,"Primary motor area, Layer 6b",1F9D5A,1,23,985,/997/8/567/688/695/315/500/985/882/,183788,183788,0,0
993,MOs,Secondary motor area,1F9D5A,1,24,500,/997/8/567/688/695/315/500/993/,13099028,13099028,0,0
656,MOs1,"Secondary motor area, layer 1",1F9D5A,1,25,993,/997/8/567/688/695/315/500/993/656/,2320426,2320426,0,0
962,MOs2/3,"Secondary motor area, layer 2/3",1F9D5A,1,26,993,/997/8/567/688/695/315/500/993/962/,3804232,3804232,0,0
767,MOs5,"Secondary motor area, layer 5",1F9D5A,1,27,993,/997/8/567/688/695/315/500/993/767/,4523054,4523054,0,0
1021,MOs6a,"Secondary motor area, layer 6a",1F9D5A,1,28,993,/997/8/567/688/695/315/500/993/1021/,2377730,2377730,0,0
1085,MOs6b,"Secondary motor area, layer 6b",1F9D5A,1,29,993,/997/8/567/688/695/315/500/993/1085/,73586,73586,0,0
453,SS,Somatosensory areas,188064,1,30,315,/997/8/567/688/695/315/453/,33320260,33320260,0,0
